#{"t_start": 1736703438.6799467, "env_id": "CustomHopper-source-v0"}
r,l,t
25.396492,19,13.604711
92.714389,49,13.701277
18.537175,20,13.733924
120.186551,63,13.872298
27.725149,25,13.929008
31.753166,29,13.988428
76.501231,46,14.086645
82.09398,46,14.233736
71.164658,46,14.389661
59.259806,34,14.507542
19.245692,24,14.589743
110.839037,57,14.715158
103.349303,53,14.830265
30.702858,31,14.928461
72.319723,46,15.1163
7.529059,12,15.161542
63.627496,40,15.35211
88.617785,50,15.578367
72.076,46,15.651873
12.197515,20,15.676772
53.083938,32,15.714388
103.216419,65,18.221015
186.384052,84,18.400878
82.567333,56,18.456226
138.947148,69,18.518648
20.010353,19,18.535632
97.056001,53,18.580549
156.306086,74,18.642799
19.063015,27,18.665079
113.793676,63,18.716639
66.371003,39,18.749723
72.555801,41,18.785778
104.085366,53,18.825871
90.111037,58,18.86743
109.481553,59,18.908731
175.918028,81,18.963945
54.334679,32,18.985583
54.861967,39,19.011601
128.358901,65,19.058866
26.197437,24,19.07477
204.355006,88,19.132462
80.33546,47,19.163038
162.652103,74,19.210004
55.818471,33,19.230991
73.298954,41,19.257357
65.564042,39,19.282343
71.438625,48,19.312839
136.783378,66,19.353514
